job_title,recruiter,job_type,vacancy,salary,location,start_date,level_of_study,academic_results,open_date,close_date,job_desc,application_url
,,,,,,,,,,,"FDM's Business Intelligence (BI) Program will train you to become an expert at developing strategies to help businesses gain and maintain competitive advantage through the use of data.,Our Melbourne Office is looking for an enthusiastic Graduate to join the Assurance and Advisory division in 2019.,Visy is hiring engineering graduate (mechanical or chemical) to fill the position of Energy Process Engineer.,It is an exciting opportunity for accelerated professional growth and the development of a core set of skills that will set you up for a career in management consulting. ,The SAS Global Presales Academy is an 18 week training program that prepares participants for a career as a SAS Systems Engineer. ,Software Engineering makes up around a quarter of our workforce and our engineers range from graduates through to technology specialists with multiple years of experience.,If you are graduating soon, or have recently graduated, then you may be interested in a graduate consulting role with Nous Group. We accept applications throughout the year.,Nous Group provides rewarding and meaningful internship and placement opportunities for tertiary students. We accept applications throughout the year for full-time or part-time internships.,Get a Kickstart with our internships,Startwise with our Graduate Program,Become part of the SAS – RiBit community and leap into your next work placement,FDM offers numerous career paths for you to choose, and that's why in 2017 alone, we have launched the careers of over 1,000 graduates. ,
	,Kick start your career in I.T,
	,Hands on experience with some of Australia's largest companies,
	,Offers world class training & induction program and ongoing career development,
,PACE mentoring is an opportunity for students with disability to gain valuable skills and advice on how to be successful in gaining employment and explore career path options with an industry professional.,Mark your calendar, because applications for the 2020 MECCA Brands Graduate Program will be open from10:00 am on Monday 11 February and will close at 4:00 pm on Friday 29 March 2019,If ThoughtWorks sounds like the right environment for you to learn, grow and thrive, then we are looking forward to getting to know you.,We are seeking Graduate Geospatial and/or Software Development professionals who are interested in working with us in Melbourne - Australia starting February 2019,Please complete this registration of interest to join our Talent Community to keep up to date with upcoming vacancies. ,IP Australia is a Government agency with a passion for bright ideas. We offer a flexible workplace and rewarding career paths in the fast-growing world of intellectual property (IP).,Our structured graduate program is designed to provide the best foundation for your future success, wherever your career takes you.",https://apply.fdmgroup.com/Decide.aspx?jobid=304&source=gradaus
FDM Group Business Intelligence,FDM Group,Graduate Jobs,10,"$55,000 - $59,999",Sydney,"February, 2019",Bachelor degree,75 - 84% WAM (Distinction),"December 2, 2018","January 6, 2019","There are thousands of graduates in the market, stand out from the crowd.,
,
Technology is transforming all our lives – developments in robotics, automation, artificial intelligence and big data are creating the careers of the future. Digital careers need intelligent, analytical minds, people who want to make a difference; graduates who desire to be at the forefront of change.,
,
Regardless of your degree subject, we believe all graduates possess the skills to fuel an exciting career in technology. FDM offers numerous career paths for you to choose, and that's why in 2017, we launched the careers of over 1,000 graduates. FDM Group is a FTSE 250 employer with a global footprint working with some of the world's most reputable organisations such as HSBC, KPMG, ANZ and Macquarie.,
,
,How is the program structured?,Your journey as a BI Consultant will begin at FDM's academy in Sydney, where you will receive fully-funded training and the chance to gain industry recognised qualifications, as well as mentoring and support throughout. Our award-winning Graduate Program provides a wealth of opportunity to gain transferable skills as well as becoming an expert within your field. After successfully completing your training, you will work with one or more of our clients in Australia during the two-year program.,
,
,What will I be doing?,FDM's Business Intelligence (BI) Program will train you to become an expert at developing strategies to help businesses gain and maintain competitive advantage through the use of data. You will learn how to design and develop analytics tools and platforms to analyse data essential to ensuring that businesses function efficiently. BI technologies provide historical, current and predictive views of business operations with the aim of creating a simpler interpretation of big data, identify opportunities and improve strategies for long-term organisational stability.,
,
,What we are looking for:,
	,Bachelor's degree,
	,Analytical skills,
	,Excellent communication skills and ability to build relationships,
	,Ability to meet deadlines effectively,
	,Big ambitions to succeed within the IT industry,
	,Eligible to work in Australia (citizen/permanent resident),
	,Geographically flexible throughout Sydney and Melbourne to support our clients,
,What we offer you:,
	,Fully-funded industry recognised training and qualifications,
	,Key skills development e.g. stakeholder management, communication, planning and Microsoft Excel,
	,A foot in the door to some of the world's most reputable organisations,
	,Mentoring and on-going support throughout your entire FDM journey,
	,Modern and central training academies,
	,Social events and networking,
,Whether you've been studying for a role in the technology industry or not, we have exciting opportunities available for you. We have multiple start dates all year round, so why not make an application today? Click to apply for the FDM graduate program. If successful, you will be able to specify your interest for this particular role at a later point in the application process.,
,
With the world at your fingertips, all you have to do is click apply. ,
 ",https://apply.fdmgroup.com/Decide.aspx?jobid=304&source=gradaus
Infosys Technology Associate - Graduate Role - Melbourne,Infosys,Graduate Jobs,,,Melbourne,"March, 2019",Bachelor degree,,,"February 11, 2019","We are looking for passionate, motivated and talented I.T professionals to kick start their careers with Infosys.,Exciting career opportunity to work for an employer that is passionate about investing in your training and development. We offer mentorship programs, continuing training courses with our digital classroom partners and we build our leaders on the inside with our Leadership Institute program.,
,
As a Technology Associate, you will work on challenge projects gaining hands one experience with some of the largest companies in the world. You'll be met with many new opportunities to be more and do more by becoming a part of the Infosys community. We value lifelong learning, creative thinking and foster an entrepreneurial culture. Come amplify your potential and become your very best while helping us co-create the digital and disruptive future of innovation and technology.,We offer varied career pathways from Application Development, Testing, support, data analytics, Business Analysis, Program management, IT infrastructure, Cyber security and more.,If you recently completed your graduation or have 0-2 years' industry experience and are looking for your big career break, then come join us.,
,
Location for this position can be based in Melbourne.,This role may require travel and/or relocation.,Australian citizens and PR holders are encouraged to apply. We are unable to sponsor at this time.,
,
,Qualifications,
	,At least or In pursuit of a Bachelor's degree in Science, Technology, Engineering, Mathematics required from an accredited institution.,
	,Preferred - Software Development/ Programming - Knowledge of how to develop code and document artifacts including unit test plans and ensure that the output is as per the given specifications and SLAs.,
	,Testing - Perform testing activities (Functional, Integration, System, User experience) based on the plans and in line with defined processes with guidance from supervisor.,
	,Production Support - Respond to the issues assigned, conduct analysis, suggest / implement workarounds, communicate to all the stakeholders and close issues as per the agreed timelines,
	,Knowledge Management activities including documentation and knowledge gathering of the modules he/she is working on.,
	,A recent graduate or currently in pursuit of the degree.,
	,Willingness to relocate anywhere within Australia,
	,The job entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email, or face to face. Travel may be required as per the job requirements.,
,About Us,
,
Infosys is a global leader in consulting, technology, outsourcing and next-generation services. We enable clients, in more than 50 countries, to stay a step ahead of emerging business trends and outperform the competition. We help them transform and thrive in a changing world by co-creating breakthrough solutions that combine strategic insights and execution excellence.,
,
Visit our website to see how Infosys (NYSE: INFY), with US$10.78 B in annual revenues and 200,000+ employees, some of the world's largest companies navigate their next with us. ",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25633&siteid=5439&areq=30516BR&Codes=Seek_Australia#jobDetails=1205212_5439
Herbert Smith Freehills Graduate Program,Herbert Smith Freehills,Graduate Jobs,,,"Brisbane, Melbourne, Perth, Sydney, International ",Ongoing ,,,,,"Our structured graduate program is designed to provide the best foundation for your future success, wherever your career takes you.,Graduates will have three rotations in different practice groups. During each rotation, graduates are assigned a supervising partner and buddy.,A learning and development program also supports the on-the-job learning to help you to develop your leadership, business development, negotiation and presentation skills. Training takes place during working hours and is delivered by internal experts as well as specialist providers and leading commentators.,
,
Herbert Smith Freehills funds and assists graduates at the firm who need to complete practical legal training to gain admission to practice.,We encourage students to participate in our vacation clerkship program and we fill the majority of our graduate positions through this program. We do not currently have a separate graduate recruitment program planned.,
,
We also run a number of graduate and clerkship programs in our overseas offices. To find out more visit our graduate careers ,website,
 ",https://careers.herbertsmithfreehills.com/au/grads/
FDM Group Technical Consultant (Software Development),FDM Group,Graduate Jobs,10,"$55,000 - $59,999",Sydney,"February, 2019",Bachelor degree,>85% WAM (High Distinction),"January 1, 2019","February 4, 2019","There are thousands of graduates in the market, stand out from the crowd. Technology is transforming all our lives – developments in robotics, automation, artificial intelligence and big data are creating the careers of the future. Digital careers need intelligent, analytical minds, people who want to make a difference; graduates who desire to be at the forefront of change.,
,
Regardless of your degree subject, we believe all graduates possess the skills to fuel an exciting career in technology. FDM offers numerous career paths for you to choose, and that's why in 2017 alone, we have launched the careers of over 1,000 graduates. FDM Group is a FTSE 250 employer with a global footprint working with some of the world's most reputable organisations such as ANZ, HSBC, Macquarie Group and KPMG Australia.,
,
We currently have over 3,000 consultants on-site and you could be next!,
,
,How is the program structured?,Your journey will begin at FDM's training academy in Sydney where we will fund your training and industry recognised qualifications, as well as provide you with mentoring and support throughout. Our award-winning Graduate Program provides a wealth of opportunity to gain transferable skills as well as becoming an expert within your field. After successfully completing your training, you will work with one or more of our prestigious clients during the two-year programme.    ,
,
,What we are looking for:,
	,Excellent communication skills and an ability to build relationships,
	,Ambitious, with a drive to succeed within the digital and banking / finance sector,
	,Bachelor's degree,
	,Strong analytical ability and problem solving skills,
	,Good decision making skills within fast-paced environments,
	,Passion for technology,
	,Any programming experience,
	,Be geographically flexible throughout Australia (Sydney and Melbourne) to support our clients,
	,Be able to commit to a two-year contract with FDM upon completion of the training period,
	,Eligible to work in Australia (citizen / permanent resident)  ,
,What we offer you:,
	,Industry recognised training and qualifications,
	,Key skills development e.g. stakeholder management, communication, fundamental programming in SQL, UNIX and Java.,
	,A foot in the door to some of the world's most reputable organisations,
	,Mentoring and on-going support throughout your entire FDM journey,
	,Modern and central training academies,
	,Social events and networking  ,
,Whether you've been studying for a role in the technology industry or not, we have exciting opportunities available for you. We have multiple start dates all year round, so why not make an application today?  ,
,
With the world at your fingertips, all you have to do is click apply.",https://apply.fdmgroup.com/Decide.aspx?jobid=304&source=gradaus
IP Australia Non-ongoing (Temporary) Employment Register,IP Australia,Graduate Jobs,,,Canberra - Melbourne,Ongoing ,,,,,"IP Australia is a Government agency with a passion for bright ideas. We offer a flexible workplace and rewarding career paths in the fast-growing world of intellectual property (IP). IP Australia administers Australia's IP rights system, specifically patents, trade marks, designs and plant breeder's rights. In addition to our Patent, Trade Mark, Design and Plant Breeder's Rights Examination roles, have a variety of other roles including finance, communications, legal, IT, economics, and human resources.,
,
IP Australia's non-ongoing temporary employment register is used to assist in filling short term employment opportunities (from several weeks up to 12 months). To be eligible for non-ongoing employment applicants must be Australian Citizens. Salary and conditions of engagement are detailed on the Careers web page.,
,
Before you can register for non-ongoing employment you will need to sign in or register on the IP Australia Web Recruitment system using a valid email address.,
,
Once signed in, to apply for the Non-ongoing (Temporary) Employment Register, click on the ""Apply"" button at the top of the screen and submit your application via the IP Australia Web Recruitment system. When submitting your details you will be asked to select the type of work that you are interested in and upload your resume.,
,
Please note that registration on the temporary employment register records your interest in working at IP Australia only. It does not guarantee a position becoming available or an offer of non-ongoing employment.,
 ",https://www.ipaustralia.gov.au/about-us/careers/current-vacancies-listing/non-ongoing-temp-register-2017
Westpac Group Graduate and Internship Programs: Join our Talent Community,Westpac,Graduate Jobs,,,,Ongoing ,,,,,"Please note we are currently closed for Graduate and Internship Program applications.,We would still love to hear from you! Please complete this registration of interest to join our ‘Talent Community’ to keep up to date with upcoming vacancies. We will only contact you with events and opportunities that might be of interest to you, based on the information you provide in this survey.,In submitting your details you agree to be contacted by Westpac Group and receive occasional, targeted news and updates from Westpac Group.,Westpac Group’s Program Selection Team",https://www.surveymonkey.com/r/Westpacgrad_registrationofinterest
Australian Network on Disability  PACE Mentoring Program (Volunteer),Australian Network on Disability,Internships,,Unpaid,Australia Wide,"April, 2018",,,"February 22, 2018","March 24, 2019","PACE mentoring is an opportunity for students with disability to gain valuable skills and advice on how to be successful in gaining employment and explore career path options with an industry professional.,
,
PACE recognises that students with disability frequently find themselves with little or no work experience, and may not be fully aware of the skills and attributes they can offer an organisation. This adds to the difficulties that job seekers may encounter as they try to enter their chosen career.,
,
The program is a Four month commitment during which time the mentors and mentees will meet approximately 6-8 times. Mentees benefit from accessing the mentor's accumulated knowledge and expertise, and being guided in their professional development and goal setting. Mentees may also work on interview techniques, resumes and putting together an impressive cover letter.,
,
The aim is to give participants a range of skills, experiences and advice about the workforce, as well as providing mentors with a rewarding professional developmental experience.,
,
 ",https://www.tfaforms.com/420518
MECCA Brands 2020 Graduate Program,MECCA Brands,Graduate Jobs,,"Market competitive, plus amazing benefits",Richmond,"October, 2019",Bachelor degree,65 - 74% WAM (Credit),"February 11, 2019","March 29, 2019","The MECCA Brands Graduate Program is an accelerated, all-access, 2-year journey through our fast-growing business and it's one of the paths through which we grow our future leaders. We are looking for highly driven, curious and innovative Graduates who aren't afraid to dream big and challenge the rules. Whatever your academic background, you will find opportunities within our Graduate program to drive change, innovate and go places!,
,
,The highlights,
,
Our Graduate program is a 2-year accelerated journey through our business, based out of our Support Centre in Melbourne. Through bespoke 6-month rotations in up to 4 different departments, you will be exposed to a curated mix of creative and business-oriented projects. You will also receive support, training and mentoring from a range of inspirational leaders at MECCA, including your coach and line manager in each rotation. At the conclusion of the program, you will be primed to stay on and hopefully become our future MECCA leaders and game changers.,
,
,Choose your future!,
,
While your friends may be sitting in a stuffy corporate office doing repetitive work, at MECCA Brands you'll be going places! You could be…,
	,Designing our next generation of stores,
	,Developing new products,
	,Working on new brand launches,
	,Creating our next digital campaign,
	,Developing our next modules of leadership training,
	,Solving an inventory problem across a network of 100 stores,
	,Integrating and implementing new software throughout MECCA stores, the Support Centre or our warehouse,
	,Preparing a business case for a major investment,
	,Conceiving our next eCommerce feature,
,First class training & development,
,
The first week of our Graduate program is dedicated to formal learning and development, to equip you with the skills to excel at MECCA Brands right from the start. We also provide you with a wide range of continual support and training throughout the program, including:,
	,Pairing you with a coach and buddy to mentor, guide and support you,
	,Workshops between rotations, with cross-functional Graduate team projects,
	,Regular presentations by inspiring speakers from all around the world,
	,Leadership, brand and core skills training,
	,All this in a non-conformist and evolving environment where ideas and innovation are valued from all team members.,
,Be part of Australia's #5 Best Place to Work,
,
Okay, let's get real. As a Graduate, you're going to be spending around 40 hours each week at work. So why not make those 40 hours as inspiring, rewarding and fun as possible? That's exactly what we try to do each and every day here at MECCA. We build joy, hustle, celebration and fun into everyday life in our Support Centre. And we're so thrilled that we were officially crowned as the #5 Best Place to Work across all of Australia, making us the only retailer in the top 5 and placing us in the list for the fifth consecutive year!,
,
,The benefits,
,
Okay, we hear you - get to the good stuff! As one of our Graduates, you will receive:,
	,Unlimited 40% discount on all products sold in our stores,
	,A quarterly product allowance earned by spending time in our stores, in our distribution centre and at special events,
	,The opportunity to be involved in major events in the MECCA calendar, like MECCALAND and Melbourne Fashion Week,
	,Invitations to lunches with amazing speakers like Peggy O'Neal, Jane Tewson, Tiernan Brady, Dr Tererai Trent and Kristina Karlsson,
	,Consideration for our Jo Horgan values award program, which celebrates 3 lucky winners each year who are treated to a career enriching overseas development trip,
	,Complimentary yoga and group fitness sessions,
	,Regular social events, food trucks, ice-cream stalls and coffee carts (#melbourne),
,Key dates for the 2020 Graduate program,
	,11 February 2019 at 10:00 am – Applications open,
	,22 March 2019 – Come meet us at the Big Meet in Melbourne,
	,29 March 2019 at 4:00 pm – Applications close,
	,Mid April 2019 – If you are selected, complete our online questionnaire,
	,Late April/early May 2019 – If you make it to the next round, participate in our Graduate Recruitment Forum in Melbourne,
	,By mid-May 2019 – Offers made and finalised,
	,Summer of 2019/2020 – Graduates without previous experience in a MECCA store will join us from October 2019 as a Summer Store Host and spend the summer learning about our amazing customers and exclusive products,
	,Early February 2020 – Your whole Graduate cohort will start at our Support Centre in Richmond, Melbourne, with a dedicated induction program, followed by rotations through up to 4 of our departments over the course of 2 years,
",
SAS Work Placement Program – Join our new digital platform in partnership with RiBit,SAS,Internships,Varied,Varies,"Sydney, Melbourne or Canberra",Ongoing ,,65 - 74% WAM (Credit),"September 13, 2018","January 31, 2019","Kick start your career in analytics! With an industry skills gap looming, and an estimated 85% of Fortune 500 organizations unable to effectively exploit big data, now is the perfect time to supplement your SAS skills with hands-on work experience within a SAS customer organization.,
,
For over a decade SAS has been committed to helping university students with SAS skills and knowledge, gain work placement with SAS customers.,
In partnership with RiBit we are excited to announce, NEW look SAME commitment, with the launch of a new digital matching service – connecting more students with more employers.,
,
""By 2018, demand for workers skilled in analytics could outpace supply by 60 percent – or 1.5 million jobs"" McKinsey Global Institute study,
,
This new platform matches students with SAS skills to SAS customers, offering an opportunity for university students to put theory into practice, and gain valuable industry experience, while helping organisations meet their needs for talented people across Australia. Grab the opportunity not only to boost your existing academic training with real-world data experience, but also to get valuable industry exposure that will jump you ahead of the field.,
,
Become part of the SAS – RiBit community and leap into your next work placement,
,
,TAKE THE LEAP:,
,
Work-eligible (hyper link to window or something that opens - Australia citizens, permanent residence and International students (working rights within Australia/ New Zealand - Must also submit visa notice ), penultimate and final year STEM students from SAS-sponsored University courses and/or those students who have participated in the SAS Programming 1, SAS Statistics 1 or SAS Programming for R Users, via eLearning courses or have completed the SAS Visual Analytics & Visual Statistics tutorials, to apply.,
,
,WHAT NEXT:,
,
Sign up with RiBit and join the exclusive SAS membership area, where students with SAS experience are matched with opportunities at SAS customers.,
,
,MORE ABOUT SAS:,
,
Data is more than just facts and figures. It can tell a story – the past, the present and, potentially, the future of an organisation, an industry or even a nation. But without a good storyteller to bring it to life, data is like an unwritten book. It's our job at SAS to be great storytellers. With our advanced analytics tools, we transform data into insights that tell the true story about an organisation. We help people understand what's really working in their businesses, fix what isn't and discover new opportunities.,
,
For over 40 years we've been giving our customers the power to know. If you want to hear more about those great stories we keep talking about, our customer stories tell a powerful tale about how the use of SAS' advanced analytics is transforming our customer's worlds.,
,
Sign-up Now ,
 ",https://sas.ribit.net/
